iter	Passed	Remaining
0	6	1916
1	10	1568
2	15	1559
3	20	1553
4	25	1480
5	30	1485
6	35	1493
7	40	1482
8	46	1489
9	52	1509
10	56	1472
11	61	1464
12	66	1468
13	71	1462
14	77	1467
15	83	1474
16	88	1471
17	93	1463
18	98	1462
19	104	1463
20	109	1455
21	115	1456
22	118	1428
23	123	1422
24	129	1426
25	136	1437
26	139	1412
27	149	1454
28	155	1453
29	162	1458
30	167	1455
31	173	1450
32	180	1457
33	184	1446
34	188	1426
35	194	1429
36	200	1422
37	205	1415
38	210	1412
39	214	1392
40	219	1387
41	226	1390
42	231	1384
43	237	1382
44	243	1377
45	247	1368
46	253	1363
47	258	1356
48	262	1343
49	268	1341
50	273	1336
51	279	1331
52	284	1325
53	289	1320
54	294	1312
55	300	1309
56	305	1302
57	310	1296
58	315	1290
59	321	1286
60	325	1276
61	331	1270
62	336	1264
63	340	1257
64	344	1246
65	350	1242
66	355	1237
67	360	1230
68	366	1227
69	371	1221
70	376	1214
71	382	1211
72	387	1205
73	392	1198
74	397	1192
75	402	1187
76	406	1176
77	412	1172
78	417	1167
79	422	1161
80	427	1156
81	433	1151
82	438	1146
83	443	1140
84	448	1134
85	453	1127
86	460	1127
87	465	1121
88	471	1117
89	477	1113
90	482	1107
91	485	1096
92	490	1091
93	495	1085
94	500	1079
95	505	1074
96	511	1069
97	516	1063
98	520	1056
99	525	1050
100	530	1044
101	534	1038
102	539	1031
103	544	1025
104	549	1020
105	553	1013
106	558	1008
107	564	1003
108	569	997
109	573	990
110	577	983
111	582	977
112	587	972
113	592	966
114	598	962
115	603	957
116	608	951
117	612	944
118	617	938
119	622	933
120	627	927
121	632	922
122	637	917
123	642	912
124	647	906
125	652	900
126	657	895
127	662	890
128	667	884
129	672	879
130	677	874
131	682	868
132	687	862
133	690	855
134	695	850
135	700	844
136	710	845
137	718	843
138	725	840
139	730	834
140	733	827
141	738	821
142	743	816
143	747	809
144	752	804
145	756	798
146	761	792
147	766	787
148	771	781
149	775	775
150	779	769
151	783	763
152	786	756
153	789	748
154	794	743
155	800	738
156	805	733
157	809	727
158	814	722
159	819	716
160	823	711
161	828	705
162	833	700
163	839	696
164	842	689
165	850	686
166	856	681
167	862	677
168	868	673
169	874	669
170	880	664
171	885	659
172	891	654
173	898	650
174	904	646
175	910	641
176	916	636
177	921	631
178	927	626
179	932	621
180	937	616
181	943	611
182	947	605
183	952	600
184	958	595
185	963	590
186	967	584
187	976	581
188	982	577
189	987	571
190	992	566
191	997	561
192	1003	556
193	1008	551
194	1013	545
195	1017	539
196	1023	534
197	1027	529
198	1033	524
199	1038	519
200	1043	513
201	1048	508
202	1053	503
203	1058	498
204	1063	492
205	1069	487
206	1074	482
207	1079	477
208	1084	472
209	1089	467
210	1093	461
211	1098	455
212	1103	450
213	1106	444
214	1112	439
215	1117	434
216	1122	429
217	1126	423
218	1132	418
219	1137	413
220	1140	407
221	1145	402
222	1150	397
223	1154	391
224	1160	386
225	1164	381
226	1168	375
227	1173	370
228	1179	365
229	1184	360
230	1189	355
231	1194	350
232	1199	344
233	1203	339
234	1209	334
235	1214	329
236	1218	323
237	1221	318
238	1226	313
239	1231	307
240	1236	302
241	1241	297
242	1246	292
243	1251	287
244	1257	282
245	1262	277
246	1267	272
247	1273	266
248	1277	261
249	1283	256
250	1289	251
251	1294	246
252	1299	241
253	1305	236
254	1310	231
255	1316	226
256	1321	221
257	1326	215
258	1331	210
259	1336	205
260	1341	200
261	1345	195
262	1351	190
263	1355	184
264	1359	179
265	1365	174
266	1370	169
267	1374	164
268	1381	159
269	1386	154
270	1390	148
271	1396	143
272	1401	138
273	1406	133
274	1411	128
275	1416	123
276	1421	118
277	1426	112
278	1432	107
279	1436	102
280	1441	97
281	1447	92
282	1452	87
283	1457	82
284	1462	76
285	1468	71
286	1473	66
287	1478	61
288	1484	56
289	1490	51
290	1495	46
291	1501	41
292	1506	36
293	1512	30
294	1516	25
295	1522	20
296	1527	15
297	1532	10
298	1537	5
299	1542	0
